user_id,age,gender,occupation,smoking_status,pet_status,sleep_schedule,cleanliness,budget_min,budget_max,roommate_gender_pref,pref_smoking
48,19,MALE,Doctor,NON_SMOKER,NO_PETS,EARLY_BIRD,3,3813,5760,MALE,NOT_ALLOWED
49,31,MALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,1547,4023,FEMALE,ALLOWED
50,35,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,1,3243,5955,ANY,NOT_ALLOWED
51,20,FEMALE,Student,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3709,6075,FEMALE,ALLOWED
52,32,FEMALE,Student,SMOKER,HAS_PETS,EARLY_BIRD,5,3843,6706,MALE,NOT_ALLOWED
53,30,FEMALE,Student,SMOKER,NO_PETS,EARLY_BIRD,4,2270,4777,MALE,NOT_ALLOWED
54,34,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,3,3374,3991,ANY,ALLOWED
55,26,MALE,Freelancer,SMOKER,HAS_PETS,NIGHT_OWL,4,2078,4701,ANY,NOT_ALLOWED
56,35,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,2,1553,2076,MALE,ALLOWED
57,23,FEMALE,Engineer,SMOKER,NO_PETS,EARLY_BIRD,3,2029,2638,FEMALE,ALLOWED
58,22,MALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,2,3670,4784,FEMALE,NOT_ALLOWED
59,31,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,3924,6585,MALE,NOT_ALLOWED
60,31,MALE,Freelancer,NON_SMOKER,NO_PETS,EARLY_BIRD,4,3042,4436,FEMALE,NOT_ALLOWED
61,27,MALE,Engineer,SMOKER,HAS_PETS,EARLY_BIRD,1,3557,5510,MALE,ALLOWED
62,18,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,3,1940,3717,FEMALE,NOT_ALLOWED
63,24,FEMALE,Student,SMOKER,HAS_PETS,NIGHT_OWL,3,3669,5237,MALE,ALLOWED
64,18,FEMALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,3,3060,5731,ANY,ALLOWED
65,27,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,2279,3438,MALE,NOT_ALLOWED
66,27,FEMALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,1,1848,4216,ANY,NOT_ALLOWED
67,30,MALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,4,1733,4644,ANY,NOT_ALLOWED
68,32,MALE,Doctor,SMOKER,NO_PETS,EARLY_BIRD,2,3514,6061,MALE,NOT_ALLOWED
69,27,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,1666,2198,FEMALE,NOT_ALLOWED
70,22,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,1,3866,6861,FEMALE,ALLOWED
71,23,FEMALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3511,4419,FEMALE,NOT_ALLOWED
72,24,FEMALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,1879,2994,MALE,ALLOWED
73,22,MALE,Teacher,SMOKER,HAS_PETS,EARLY_BIRD,5,3343,5267,FEMALE,NOT_ALLOWED
74,18,MALE,Freelancer,NON_SMOKER,NO_PETS,EARLY_BIRD,3,2837,4555,MALE,NOT_ALLOWED
75,34,FEMALE,Designer,SMOKER,NO_PETS,EARLY_BIRD,2,3584,5998,FEMALE,NOT_ALLOWED
76,34,FEMALE,Doctor,SMOKER,NO_PETS,NIGHT_OWL,2,2753,4550,ANY,NOT_ALLOWED
77,35,MALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,2,2772,4849,MALE,NOT_ALLOWED
78,28,FEMALE,Designer,SMOKER,HAS_PETS,NIGHT_OWL,2,2503,3912,ANY,NOT_ALLOWED
79,35,MALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3544,6396,FEMALE,NOT_ALLOWED
80,30,FEMALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,5,2117,4160,FEMALE,NOT_ALLOWED
81,18,FEMALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,5,3897,4996,ANY,NOT_ALLOWED
82,34,MALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,2996,3645,MALE,ALLOWED
83,27,FEMALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,3867,5860,FEMALE,NOT_ALLOWED
84,26,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,1,3941,4601,FEMALE,NOT_ALLOWED
85,31,MALE,Freelancer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,2023,4011,ANY,NOT_ALLOWED
86,33,MALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,2439,5103,FEMALE,NOT_ALLOWED
87,24,FEMALE,Doctor,NON_SMOKER,NO_PETS,NIGHT_OWL,4,2042,2922,MALE,NOT_ALLOWED
88,32,MALE,Student,SMOKER,HAS_PETS,NIGHT_OWL,3,2358,3715,FEMALE,NOT_ALLOWED
89,35,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,1,2908,4815,ANY,NOT_ALLOWED
90,18,MALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,2,2743,4810,FEMALE,ALLOWED
91,24,MALE,Student,NON_SMOKER,NO_PETS,EARLY_BIRD,3,3318,4698,MALE,NOT_ALLOWED
92,26,MALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,1,1751,4353,ANY,NOT_ALLOWED
93,22,MALE,Freelancer,SMOKER,HAS_PETS,NIGHT_OWL,3,3264,5471,FEMALE,NOT_ALLOWED
94,18,FEMALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,1598,4351,MALE,NOT_ALLOWED
95,26,FEMALE,Student,NON_SMOKER,NO_PETS,EARLY_BIRD,2,1558,3202,FEMALE,ALLOWED
96,18,MALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,2191,3200,ANY,ALLOWED
97,28,MALE,Teacher,NON_SMOKER,NO_PETS,EARLY_BIRD,4,3577,5669,FEMALE,ALLOWED
98,31,FEMALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,3420,5057,ANY,ALLOWED
99,30,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,5,2043,3110,ANY,NOT_ALLOWED
100,31,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,NIGHT_OWL,4,2745,4290,FEMALE,ALLOWED
101,24,MALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,1628,3272,ANY,ALLOWED
102,33,MALE,Freelancer,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,3827,5463,MALE,NOT_ALLOWED
103,34,MALE,Engineer,SMOKER,NO_PETS,NIGHT_OWL,1,2282,2878,FEMALE,NOT_ALLOWED
104,23,MALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,2,1856,2821,FEMALE,ALLOWED
105,35,MALE,Designer,NON_SMOKER,HAS_PETS,NIGHT_OWL,4,3274,3974,ANY,NOT_ALLOWED
106,20,MALE,Doctor,NON_SMOKER,NO_PETS,NIGHT_OWL,1,3170,5875,MALE,NOT_ALLOWED
107,24,FEMALE,Student,NON_SMOKER,NO_PETS,EARLY_BIRD,2,3386,5806,MALE,NOT_ALLOWED
108,18,FEMALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,3,3162,4731,MALE,NOT_ALLOWED
109,18,FEMALE,Doctor,SMOKER,NO_PETS,EARLY_BIRD,4,3575,4971,FEMALE,NOT_ALLOWED
110,25,FEMALE,Engineer,SMOKER,HAS_PETS,NIGHT_OWL,1,1999,4271,MALE,NOT_ALLOWED
111,20,MALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,3,1967,2704,ANY,ALLOWED
112,34,FEMALE,Doctor,SMOKER,HAS_PETS,EARLY_BIRD,2,1778,3610,MALE,NOT_ALLOWED
113,23,MALE,Teacher,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,1868,2741,MALE,NOT_ALLOWED
114,34,FEMALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,3,2077,3280,MALE,ALLOWED
115,28,FEMALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3620,4281,FEMALE,NOT_ALLOWED
116,19,MALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,1,3221,5415,FEMALE,NOT_ALLOWED
117,29,FEMALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,2,3963,5946,ANY,NOT_ALLOWED
118,35,FEMALE,Freelancer,SMOKER,HAS_PETS,NIGHT_OWL,2,3982,5018,MALE,NOT_ALLOWED
119,27,FEMALE,Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,1569,3037,MALE,ALLOWED
120,18,MALE,Teacher,NON_SMOKER,NO_PETS,EARLY_BIRD,2,2771,5645,FEMALE,NOT_ALLOWED
121,29,FEMALE,Student,SMOKER,HAS_PETS,NIGHT_OWL,4,2569,3198,ANY,NOT_ALLOWED
122,25,FEMALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,2,3572,5417,ANY,NOT_ALLOWED
123,32,FEMALE,Doctor,SMOKER,NO_PETS,EARLY_BIRD,1,2392,2962,ANY,NOT_ALLOWED
124,32,MALE,Designer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3277,5989,MALE,NOT_ALLOWED
125,22,FEMALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,3955,4710,FEMALE,NOT_ALLOWED
126,35,MALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3064,5150,MALE,NOT_ALLOWED
127,18,FEMALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,1997,4534,ANY,NOT_ALLOWED
128,27,MALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,5,1551,3430,MALE,ALLOWED
129,18,FEMALE,Teacher,NON_SMOKER,NO_PETS,NIGHT_OWL,5,2089,4680,MALE,NOT_ALLOWED
130,19,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3174,5302,MALE,ALLOWED
131,27,MALE,Engineer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,1872,3776,MALE,ALLOWED
132,22,FEMALE,Doctor,SMOKER,NO_PETS,NIGHT_OWL,2,2569,4879,FEMALE,NOT_ALLOWED
133,24,FEMALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,5,2540,3381,MALE,ALLOWED
134,25,MALE,Engineer,SMOKER,HAS_PETS,EARLY_BIRD,5,3270,4575,MALE,NOT_ALLOWED
135,24,MALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,5,2285,2911,ANY,NOT_ALLOWED
136,21,MALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,3369,5534,MALE,NOT_ALLOWED
137,33,MALE,Freelancer,SMOKER,HAS_PETS,NIGHT_OWL,2,2853,5064,ANY,NOT_ALLOWED
138,32,FEMALE,Teacher,SMOKER,HAS_PETS,EARLY_BIRD,2,3284,5343,ANY,ALLOWED
139,27,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,3,3334,5170,ANY,ALLOWED
140,33,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,3747,6404,MALE,NOT_ALLOWED
141,18,MALE,Teacher,NON_SMOKER,NO_PETS,EARLY_BIRD,2,2020,3929,FEMALE,NOT_ALLOWED
142,28,MALE,Doctor,NON_SMOKER,NO_PETS,NIGHT_OWL,1,1688,3667,ANY,NOT_ALLOWED
143,28,MALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,2,3277,5161,MALE,NOT_ALLOWED
144,30,MALE,Freelancer,SMOKER,HAS_PETS,NIGHT_OWL,4,1979,3530,ANY,NOT_ALLOWED
145,34,FEMALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,2116,3025,FEMALE,NOT_ALLOWED
146,26,FEMALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,5,3342,4837,FEMALE,NOT_ALLOWED
147,25,FEMALE,Designer,SMOKER,HAS_PETS,NIGHT_OWL,2,1666,3192,MALE,NOT_ALLOWED
148,20,MALE,Teacher,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,1523,3288,ANY,NOT_ALLOWED
149,22,FEMALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,2935,4570,ANY,NOT_ALLOWED
150,29,FEMALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,2,1944,4278,ANY,NOT_ALLOWED
151,32,FEMALE,Student,NON_SMOKER,HAS_PETS,NIGHT_OWL,5,3590,4491,ANY,ALLOWED
152,32,FEMALE,Student,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,2166,3663,MALE,NOT_ALLOWED
153,32,FEMALE,Teacher,NON_SMOKER,NO_PETS,NIGHT_OWL,1,2610,4369,FEMALE,NOT_ALLOWED
154,27,MALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,1,3339,4227,ANY,ALLOWED
155,24,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,5,3181,4292,MALE,ALLOWED
156,24,MALE,Engineer,NON_SMOKER,NO_PETS,NIGHT_OWL,2,1941,2587,FEMALE,NOT_ALLOWED
157,25,FEMALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,2,2014,3342,ANY,NOT_ALLOWED
158,24,MALE,Doctor,SMOKER,NO_PETS,EARLY_BIRD,5,2037,3025,ANY,ALLOWED
159,29,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,2457,4258,FEMALE,NOT_ALLOWED
160,29,MALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,1,3158,4919,MALE,NOT_ALLOWED
161,30,FEMALE,Engineer,SMOKER,NO_PETS,EARLY_BIRD,2,3891,6687,FEMALE,NOT_ALLOWED
162,23,MALE,Freelancer,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,1859,2637,FEMALE,NOT_ALLOWED
163,33,MALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,2,2899,5200,FEMALE,ALLOWED
164,24,MALE,Student,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,3939,6354,MALE,NOT_ALLOWED
165,35,MALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,3,2133,4827,ANY,NOT_ALLOWED
166,28,FEMALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,4,2826,5374,FEMALE,NOT_ALLOWED
167,20,FEMALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,1,2034,4898,ANY,ALLOWED
168,23,MALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,2,3832,4861,ANY,NOT_ALLOWED
169,24,FEMALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,1,2113,3596,MALE,ALLOWED
170,26,FEMALE,Freelancer,SMOKER,NO_PETS,EARLY_BIRD,5,3852,6695,ANY,ALLOWED
171,33,FEMALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,4,3786,5606,MALE,NOT_ALLOWED
172,31,FEMALE,Freelancer,NON_SMOKER,NO_PETS,EARLY_BIRD,3,2518,4477,FEMALE,NOT_ALLOWED
173,30,FEMALE,Teacher,NON_SMOKER,HAS_PETS,NIGHT_OWL,5,2571,4177,FEMALE,NOT_ALLOWED
174,29,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,1,2904,4168,MALE,ALLOWED
175,27,MALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,3156,5551,ANY,NOT_ALLOWED
176,34,FEMALE,Engineer,NON_SMOKER,HAS_PETS,EARLY_BIRD,5,1609,3116,MALE,NOT_ALLOWED
177,27,FEMALE,Engineer,SMOKER,HAS_PETS,EARLY_BIRD,1,1704,2761,ANY,ALLOWED
178,35,FEMALE,Designer,SMOKER,NO_PETS,NIGHT_OWL,2,2894,4855,FEMALE,ALLOWED
179,30,FEMALE,Doctor,NON_SMOKER,HAS_PETS,EARLY_BIRD,3,3784,5565,MALE,NOT_ALLOWED
180,19,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,3278,4429,ANY,NOT_ALLOWED
181,27,FEMALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,2484,5362,MALE,ALLOWED
182,33,FEMALE,Doctor,SMOKER,HAS_PETS,EARLY_BIRD,5,3148,5123,MALE,NOT_ALLOWED
183,33,FEMALE,Teacher,SMOKER,HAS_PETS,NIGHT_OWL,5,2328,4452,ANY,NOT_ALLOWED
184,34,FEMALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,5,2460,5453,MALE,ALLOWED
185,25,MALE,Engineer,SMOKER,HAS_PETS,EARLY_BIRD,1,2663,4821,FEMALE,ALLOWED
186,30,FEMALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,4,3725,6230,MALE,NOT_ALLOWED
187,22,MALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,5,3866,6261,ANY,NOT_ALLOWED
188,35,MALE,Teacher,NON_SMOKER,HAS_PETS,EARLY_BIRD,3,3023,4207,FEMALE,ALLOWED
189,30,FEMALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3571,5298,ANY,NOT_ALLOWED
190,29,FEMALE,Doctor,NON_SMOKER,NO_PETS,NIGHT_OWL,4,3774,6682,MALE,ALLOWED
191,24,FEMALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3334,4304,ANY,NOT_ALLOWED
192,29,FEMALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,5,2696,3707,FEMALE,ALLOWED
193,18,FEMALE,Freelancer,SMOKER,NO_PETS,NIGHT_OWL,3,3712,5283,FEMALE,NOT_ALLOWED
194,34,FEMALE,Doctor,NON_SMOKER,NO_PETS,EARLY_BIRD,2,3490,6099,ANY,NOT_ALLOWED
195,23,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3744,6517,MALE,NOT_ALLOWED
196,34,MALE,Teacher,SMOKER,HAS_PETS,EARLY_BIRD,2,1526,2134,MALE,NOT_ALLOWED
197,19,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,3586,5690,FEMALE,ALLOWED
198,35,FEMALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,4,2915,4473,FEMALE,NOT_ALLOWED
199,34,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,1,2424,2986,FEMALE,ALLOWED
200,35,FEMALE,Doctor,NON_SMOKER,NO_PETS,EARLY_BIRD,4,3860,6787,ANY,NOT_ALLOWED
201,25,FEMALE,Student,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,3775,5772,FEMALE,NOT_ALLOWED
202,27,MALE,Doctor,SMOKER,HAS_PETS,NIGHT_OWL,2,2956,5570,ANY,NOT_ALLOWED
203,30,FEMALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3001,4800,MALE,NOT_ALLOWED
204,20,MALE,Freelancer,NON_SMOKER,HAS_PETS,EARLY_BIRD,1,2859,5255,FEMALE,NOT_ALLOWED
205,31,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,4,3639,6192,MALE,NOT_ALLOWED
206,27,MALE,Designer,SMOKER,NO_PETS,NIGHT_OWL,4,3235,6018,FEMALE,NOT_ALLOWED
207,18,MALE,Doctor,SMOKER,HAS_PETS,EARLY_BIRD,4,3641,5953,ANY,NOT_ALLOWED
208,20,MALE,Engineer,SMOKER,NO_PETS,EARLY_BIRD,1,3020,5300,ANY,NOT_ALLOWED
209,28,FEMALE,Student,SMOKER,HAS_PETS,EARLY_BIRD,2,3623,5741,FEMALE,ALLOWED
210,28,MALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,5,3714,6162,FEMALE,ALLOWED
211,26,FEMALE,Engineer,SMOKER,NO_PETS,EARLY_BIRD,5,1676,4467,FEMALE,NOT_ALLOWED
212,23,MALE,Designer,SMOKER,HAS_PETS,NIGHT_OWL,5,3695,6206,ANY,NOT_ALLOWED
213,28,FEMALE,Student,SMOKER,NO_PETS,EARLY_BIRD,1,3417,5267,FEMALE,NOT_ALLOWED
214,30,FEMALE,Freelancer,SMOKER,NO_PETS,NIGHT_OWL,4,3899,5203,FEMALE,NOT_ALLOWED
215,30,FEMALE,Doctor,NON_SMOKER,HAS_PETS,NIGHT_OWL,1,1778,4067,MALE,NOT_ALLOWED
216,26,MALE,Freelancer,NON_SMOKER,NO_PETS,NIGHT_OWL,2,3771,6691,ANY,NOT_ALLOWED
217,22,MALE,Designer,NON_SMOKER,NO_PETS,EARLY_BIRD,3,2914,4792,MALE,NOT_ALLOWED
218,26,MALE,Designer,NON_SMOKER,NO_PETS,NIGHT_OWL,3,3512,5230,MALE,NOT_ALLOWED
219,29,MALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,5,1888,4113,FEMALE,NOT_ALLOWED
220,26,FEMALE,Teacher,SMOKER,NO_PETS,NIGHT_OWL,5,3424,6311,FEMALE,NOT_ALLOWED
221,30,MALE,Designer,SMOKER,HAS_PETS,EARLY_BIRD,4,1534,3963,FEMALE,NOT_ALLOWED
222,35,MALE,Engineer,NON_SMOKER,NO_PETS,EARLY_BIRD,1,1690,3205,FEMALE,NOT_ALLOWED
223,28,FEMALE,Engineer,NON_SMOKER,HAS_PETS,NIGHT_OWL,2,2810,4388,ANY,NOT_ALLOWED
224,18,MALE,Teacher,SMOKER,NO_PETS,EARLY_BIRD,3,3075,5028,MALE,NOT_ALLOWED
225,32,FEMALE,Doctor,NON_SMOKER,NO_PETS,NIGHT_OWL,5,1540,2923,FEMALE,NOT_ALLOWED
